NAME	ABBR
Air Force	AFA
Akron	AKR
Alabama	ALA
Appalachian St.	APP
Appalachian State	APP
Arizona	ARIZ
Arizona St.	ASU
Arizona State	ASU
Arkansas	ARK
Arkansas St.	ARST
Arkansas State	ARST
Army	ARMY
Auburn	AUB
Ball St.	BALL
Ball State	BALL
Baylor	BAY
Boise St.	BSU
Boise State	BSU
Boston College	BC
Bowling Green	BGSU
Brigham Young	BYU
Buffalo	BUFF
BYU	BYU
California	CAL
Central Mich.	CMU
Central Michigan	CMU
Charlotte	CHAR
Cincinnati	CIN
Clemson	CLEM
Coastal Caro.	CCAR
Coastal Carolina	CCAR
Colorado	COLO
Colorado St.	CSU
Colorado State	CSU
Connecticut	CONN
Duke	DUKE
East Caro.	ECU
East Carolina	ECU
Eastern Mich.	EMU
Eastern Michigan	EMU
FCS	FCS
Fla. Atlantic	FAU
Florida	FLA
Florida Atlantic	FAU
Florida International	FIU
Florida Int'l	FIU
Florida St.	FSU
Florida State	FSU
Fresno St.	FRES
Fresno State	FRES
Ga. Southern	GASO
Georgia	UGA
Georgia Southern	GASO
Georgia St.	GAST
Georgia State	GAST
Georgia Tech	GT
Hawaii	HAW
Hawai'i	HAW
Houston	HOU
Idaho	IDHO
Illinois	ILL
Indiana	IND
Iowa	IOWA
Iowa St.	ISU
Iowa State	ISU
Kansas	KU
Kansas St.	KSU
Kansas State	KSU
Kent St.	KENT
Kent State	KENT
Kentucky	UK
La.-Lafayette	ULL
La.-Monroe	ULM
Louisiana Tech	LT
Louisiana-Lafayette	ULL
Louisiana-Monroe	ULM
Louisville	LOU
LSU	LSU
Marshall	MRSH
Maryland	UMD
Massachusetts	UMASS
Memphis	MEM
Miami (Fla.)	MIA
Miami (Florida)	MIA
Miami (Ohio)	M-OH
Michigan	MICH
Michigan St.	MSU
Michigan State	MSU
Middle Tenn. St.	MTSU
Middle Tennessee	MTSU
Minnesota	MINN
Mississippi	MISS
Mississippi St.	MSST
Mississippi State	MSST
Missouri	MIZ
Navy	NAVY
Nebraska	NEB
Nevada	NEV
New Mexico	UNM
New Mexico St.	NMSU
New Mexico State	NMSU
North Carolina	UNC
North Carolina St.	NCST
North Carolina State	NCST
North Texas	UNT
Northern Ill.	NIU
Northern Illinois	NIU
Northwestern	NW
Notre Dame	ND
Ohio	OHIO
Ohio St.	OSU
Ohio State	OSU
Oklahoma	OKLA
Oklahoma St.	OKST
Oklahoma State	OKST
Old Dominion	ODU
Oregon	ORE
Oregon St.	ORST
Oregon State	ORST
Penn St.	PSU
Penn State	PSU
Pittsburgh	PITT
Purdue	PUR
Rice	RICE
Rutgers	RUTG
San Diego St.	SDSU
San Diego State	SDSU
San Jose St.	SJSU
San Jose State	SJSU
SMU	SMU
South Ala.	USA
South Alabama	USA
South Carolina	SC
South Fla.	USF
South Florida	USF
Southern California	USC
Southern Methodist	SMU
Southern Miss.	USM
Southern Mississippi	USM
Stanford	STAN
Syracuse	SYR
TCU	TCU
Temple	TEM
Tennessee	TENN
Texas	TEX
Texas A&M	TAMU
Texas St.	TXST
Texas State	TXST
Texas Tech	TTU
Toledo	TOL
Troy	TROY
Tulane	TULN
Tulsa	TLSA
UAB	UAB
UCF	UCF
UCLA	UCLA
UNLV	UNLV
USC	USC
Utah	UTAH
Utah St.	USU
Utah State	USU
UTEP	UTEP
UTSA	UTSA
Vanderbilt	VAN
Virginia	UVA
Virginia Tech	VT
Wake Forest	WAKE
Washington	WASH
Washington St.	WSU
Washington State	WSU
West Virginia	WVU
Western Kentucky	WKU
Western Ky.	WKU
Western Mich.	WMU
Western Michigan	WMU
Wisconsin	WIS
Wyoming	WYO
